tweet_id,created_at,favorite_count,retweet_count,followers_count,profile_color,url,source
885167619883638784,Wed Jul 12 16:03:00 +0000 2017,20087,3870,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
884925521741709313,Wed Jul 12 00:01:00 +0000 2017,70694,15988,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
884876753390489601,Tue Jul 11 20:47:12 +0000 2017,25537,4946,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
884562892145688576,Tue Jul 11 00:00:02 +0000 2017,22337,4166,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
884441805382717440,Mon Jul 10 15:58:53 +0000 2017,24903,5053,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
884247878851493888,Mon Jul 10 03:08:17 +0000 2017,66580,17986,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
884162670584377345,Sun Jul 09 21:29:42 +0000 2017,18761,2652,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
883838122936631299,Sun Jul 09 00:00:04 +0000 2017,20074,3028,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
883482846933004288,Sat Jul 08 00:28:19 +0000 2017,42098,8753,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
883360690899218434,Fri Jul 07 16:22:55 +0000 2017,20846,3267,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
883117836046086144,Fri Jul 07 00:17:54 +0000 2017,34057,5883,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
882992080364220416,Thu Jul 06 15:58:11 +0000 2017,21946,3441,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
882762694511734784,Thu Jul 06 00:46:41 +0000 2017,25955,4327,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
882627270321602560,Wed Jul 05 15:48:34 +0000 2017,25740,5377,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
882268110199369728,Tue Jul 04 16:01:23 +0000 2017,41163,10277,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
882045870035918850,Tue Jul 04 01:18:17 +0000 2017,26932,4314,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
881906580714921986,Mon Jul 03 16:04:48 +0000 2017,22398,3018,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
881666595344535552,Mon Jul 03 00:11:11 +0000 2017,46554,9466,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
